series_id,year,month,value
LNS11000000,2024,November,168286
LNS11000000,2024,October,168479
LNS11000000,2024,September,168699
LNS11000000,2024,August,168549
LNS11000000,2024,July,168429
LNS11000000,2024,June,168009
LNS11000000,2024,May,167732
LNS11000000,2024,April,167982
LNS11000000,2024,March,167895
LNS11000000,2024,February,167426
LNS11000000,2024,January,167276
LNS11000000,2023,December,167451
LNS11000000,2023,November,168127
LNS11000000,2023,October,167723
LNS11000000,2023,September,167897
LNS11000000,2023,August,167840
LNS11000000,2023,July,167113
LNS11000000,2023,June,167000
LNS11000000,2023,May,166823
LNS11000000,2023,April,166678
LNS11000000,2023,March,166690
LNS11000000,2023,February,166263
LNS11000000,2023,January,165871
LNS11000000,2022,December,164998
LNS11000000,2022,November,164441
LNS11000000,2022,October,164679
LNS11000000,2022,September,164649
LNS11000000,2022,August,164741
LNS11000000,2022,July,164065
LNS11000000,2022,June,164100
LNS11000000,2022,May,164280
LNS11000000,2022,April,163922
LNS11000000,2022,March,164212
LNS11000000,2022,February,163807
LNS11000000,2022,January,163615
LNS11000000,2021,December,162429
LNS11000000,2021,November,162241
LNS11000000,2021,October,161748
LNS11000000,2021,September,161568
LNS11000000,2021,August,161558
LNS11000000,2021,July,161558
LNS11000000,2021,June,161294
LNS11000000,2021,May,160737
LNS11000000,2021,April,160884
LNS11000000,2021,March,160395
LNS11000000,2021,February,160133
LNS11000000,2021,January,160014
LNS11000000,2020,December,160761
LNS11000000,2020,November,160627
LNS11000000,2020,October,160961
LNS11000000,2020,September,160247
LNS11000000,2020,August,160759
LNS11000000,2020,July,160178
LNS11000000,2020,June,160003
LNS11000000,2020,May,158066
LNS11000000,2020,April,156276
LNS11000000,2020,March,162581
LNS11000000,2020,February,164412
LNS11000000,2020,January,164328
LNS12000000,2024,November,161141
LNS12000000,2024,October,161496
LNS12000000,2024,September,161864
LNS12000000,2024,August,161434
LNS12000000,2024,July,161266
LNS12000000,2024,June,161199
LNS12000000,2024,May,161083
LNS12000000,2024,April,161491
LNS12000000,2024,March,161466
LNS12000000,2024,February,160968
LNS12000000,2024,January,161152
LNS12000000,2023,December,161183
LNS12000000,2023,November,161866
LNS12000000,2023,October,161280
LNS12000000,2023,September,161550
LNS12000000,2023,August,161500
LNS12000000,2023,July,161209
LNS12000000,2023,June,161004
LNS12000000,2023,May,160707
LNS12000000,2023,April,160962
LNS12000000,2023,March,160824
LNS12000000,2023,February,160301
LNS12000000,2023,January,160152
LNS12000000,2022,December,159300
LNS12000000,2022,November,158485
LNS12000000,2022,October,158729
LNS12000000,2022,September,158894
LNS12000000,2022,August,158758
LNS12000000,2022,July,158282
LNS12000000,2022,June,158116
LNS12000000,2022,May,158314
LNS12000000,2022,April,157888
LNS12000000,2022,March,158219
LNS12000000,2022,February,157528
LNS12000000,2022,January,157066
LNS12000000,2021,December,156124
LNS12000000,2021,November,155508
LNS12000000,2021,October,154504
LNS12000000,2021,September,153909
LNS12000000,2021,August,153270
LNS12000000,2021,July,152789
LNS12000000,2021,June,151747
LNS12000000,2021,May,151487
LNS12000000,2021,April,151083
LNS12000000,2021,March,150660
LNS12000000,2021,February,150140
LNS12000000,2021,January,149817
LNS12000000,2020,December,149989
LNS12000000,2020,November,149914
LNS12000000,2020,October,149949
LNS12000000,2020,September,147674
LNS12000000,2020,August,147261
LNS12000000,2020,July,143787
LNS12000000,2020,June,142345
LNS12000000,2020,May,137133
LNS12000000,2020,April,133185
LNS12000000,2020,March,155371
LNS12000000,2020,February,158683
LNS12000000,2020,January,158486
LNS13000000,2024,November,7145
LNS13000000,2024,October,6984
LNS13000000,2024,September,6834
LNS13000000,2024,August,7115
LNS13000000,2024,July,7163
LNS13000000,2024,June,6811
LNS13000000,2024,May,6649
LNS13000000,2024,April,6492
LNS13000000,2024,March,6429
LNS13000000,2024,February,6458
LNS13000000,2024,January,6124
LNS13000000,2023,December,6268
LNS13000000,2023,November,6262
LNS13000000,2023,October,6443
LNS13000000,2023,September,6347
LNS13000000,2023,August,6340
LNS13000000,2023,July,5904
LNS13000000,2023,June,5997
LNS13000000,2023,May,6117
LNS13000000,2023,April,5715
LNS13000000,2023,March,5866
LNS13000000,2023,February,5962
LNS13000000,2023,January,5719
LNS13000000,2022,December,5698
LNS13000000,2022,November,5956
LNS13000000,2022,October,5950
LNS13000000,2022,September,5755
LNS13000000,2022,August,5983
LNS13000000,2022,July,5783
LNS13000000,2022,June,5984
LNS13000000,2022,May,5966
LNS13000000,2022,April,6034
LNS13000000,2022,March,5993
LNS13000000,2022,February,6279
LNS13000000,2022,January,6549
LNS13000000,2021,December,6305
LNS13000000,2021,November,6733
LNS13000000,2021,October,7244
LNS13000000,2021,September,7659
LNS13000000,2021,August,8288
LNS13000000,2021,July,8770
LNS13000000,2021,June,9547
LNS13000000,2021,May,9250
LNS13000000,2021,April,9801
LNS13000000,2021,March,9734
LNS13000000,2021,February,9992
LNS13000000,2021,January,10196
LNS13000000,2020,December,10772
LNS13000000,2020,November,10713
LNS13000000,2020,October,11012
LNS13000000,2020,September,12573
LNS13000000,2020,August,13498
LNS13000000,2020,July,16391
LNS13000000,2020,June,17658
LNS13000000,2020,May,20933
LNS13000000,2020,April,23090
LNS13000000,2020,March,7209
LNS13000000,2020,February,5729
LNS13000000,2020,January,5842
LNS14000000,2024,November,4.2
LNS14000000,2024,October,4.1
LNS14000000,2024,September,4.1
LNS14000000,2024,August,4.2
LNS14000000,2024,July,4.3
LNS14000000,2024,June,4.1
LNS14000000,2024,May,4.0
LNS14000000,2024,April,3.9
LNS14000000,2024,March,3.8
LNS14000000,2024,February,3.9
LNS14000000,2024,January,3.7
LNS14000000,2023,December,3.7
LNS14000000,2023,November,3.7
LNS14000000,2023,October,3.8
LNS14000000,2023,September,3.8
LNS14000000,2023,August,3.8
LNS14000000,2023,July,3.5
LNS14000000,2023,June,3.6
LNS14000000,2023,May,3.7
LNS14000000,2023,April,3.4
LNS14000000,2023,March,3.5
LNS14000000,2023,February,3.6
LNS14000000,2023,January,3.4
LNS14000000,2022,December,3.5
LNS14000000,2022,November,3.6
LNS14000000,2022,October,3.6
LNS14000000,2022,September,3.5
LNS14000000,2022,August,3.6
LNS14000000,2022,July,3.5
LNS14000000,2022,June,3.6
LNS14000000,2022,May,3.6
LNS14000000,2022,April,3.7
LNS14000000,2022,March,3.6
LNS14000000,2022,February,3.8
LNS14000000,2022,January,4.0
LNS14000000,2021,December,3.9
LNS14000000,2021,November,4.1
LNS14000000,2021,October,4.5
LNS14000000,2021,September,4.7
LNS14000000,2021,August,5.1
LNS14000000,2021,July,5.4
